"","HF","FT","HW","id"
"1","1.229","1.075","1.748","Pseudacanthotermes militaris Worker"
"2","0.848","1.071","1.711","Pseudacanthotermes militaris Worker"
"3","0.901","1.072","1.604","Pseudacanthotermes militaris Worker"
"4","0.637","0.515","0.939","Pseudacanthotermes militaris Worker"
"5","1.13","0.926","1.773","Pseudacanthotermes militaris Worker"
"6","1.099","0.723","1.529","Pseudacanthotermes militaris Worker"
"7","1.114","0.846","0.747","Pseudacanthotermes militaris Worker"
"8","1.01","0.906","0.709","Pseudacanthotermes militaris Worker"
"9","1.407","1.015","na","Pseudacanthotermes militaris Worker"
"10","1.269","0.69","na","Pseudacanthotermes militaris Worker"
"11","0.871","0.552","1.71","Pseudacanthotermes militaris Worker"
"12","0.872","0.982","1.687","Pseudacanthotermes militaris Worker"
"13","0.855","0.848","1.021","Pseudacanthotermes militaris Worker"
"14","0.722","0.758","0.849","Pseudacanthotermes militaris Worker"
"15","0.9","0.811","na","Pseudacanthotermes militaris Worker"
"16","1.228","na","1.717","Pseudacanthotermes militaris Worker"
"17","0.826","0.393","0.844","Pseudacanthotermes militaris Worker"
"18","0.835","1.122","1.611","Pseudacanthotermes militaris Worker"
"19","1.004","0.767","1.093","Pseudacanthotermes militaris Worker"
"20","1.13","0.869","na","Pseudacanthotermes militaris Worker"
"21","0.942","0.811","1.124","Pseudacanthotermes militaris Worker"
"22","1.282","na","1.825","Pseudacanthotermes militaris Worker"
"23","na","1.108","1.78","Pseudacanthotermes militaris Worker"
"24","na","0.131","1.727","Pseudacanthotermes militaris Worker"
"25","1.113","1.347","1.968","Pseudacanthotermes militaris Worker"
"26","1.074","1.095","1.27","Pseudacanthotermes militaris Worker"
"27","1.021","1","1.528","Pseudacanthotermes militaris Worker"
"28","1.156","1.116","0.977","Pseudacanthotermes militaris Worker"
"29","1.225","0.762","1.569","Pseudacanthotermes militaris Worker"
"30","1.212","1.129","1.958","Pseudacanthotermes militaris Worker"
"31","0.974","1.035","1.25","Pseudacanthotermes militaris Soldier"
"32","0.835","1.379","1.339","Pseudacanthotermes militaris Soldier"
"33","1.229","1.125","1.398","Pseudacanthotermes militaris Soldier"
"34","0.885","0.777","na","Pseudacanthotermes militaris Soldier"
"35","1.018","0.863","na","Pseudacanthotermes militaris Soldier"
"36","1.036","1.083","1.199","Pseudacanthotermes militaris Soldier"
"37","1.321","0.938","1.181","Pseudacanthotermes militaris Soldier"
"38","0.509","1.174","1.228","Pseudacanthotermes militaris Soldier"
"39","1.439","na","1.407","Pseudacanthotermes militaris Soldier"
"40","1.317","1.344","na","Pseudacanthotermes militaris Soldier"
"41","1.888","na","2.607","Pseudacanthotermes militaris Soldier"
"42","1.619","1.418","2.006","Pseudacanthotermes militaris Soldier"
"43","1.449","na","2.155","Pseudacanthotermes militaris Soldier"
"44","1.49","1.385","1.893","Pseudacanthotermes militaris Soldier"
"45","1.626","na","2.595","Pseudacanthotermes militaris Soldier"
"46","1.728","1.659","2.402","Pseudacanthotermes militaris Soldier"
"47","1.893","na","1.963","Pseudacanthotermes militaris Soldier"
"48","1.562","na","1.896","Pseudacanthotermes militaris Soldier"
"49","1.71","na","2.098","Pseudacanthotermes militaris Soldier"
"50","1.803","1.637","2.044","Pseudacanthotermes militaris Soldier"
"51","1.613","1.978","1.844","Pseudacanthotermes militaris Queen"
"52","1.519","1.823","1.918","Pseudacanthotermes militaris Queen"
"53","0.738","0.575","1.375","Nasutitermes novarumhebridarum Worker"
"54","na","0.844","1.047","Nasutitermes novarumhebridarum Worker"
"55","0.493","na","0.872","Nasutitermes novarumhebridarum Worker"
"56","0.921","0.631","1.247","Nasutitermes novarumhebridarum Worker"
"57","0.467","0.578","0.877","Nasutitermes novarumhebridarum Worker"
"58","na","0.721","1.23","Nasutitermes novarumhebridarum Worker"
"59","0.637","na","0.923","Nasutitermes novarumhebridarum Worker"
"60","0.85","0.706","1.206","Nasutitermes novarumhebridarum Worker"
"61","0.966","na","1.316","Nasutitermes novarumhebridarum Worker"
"62","na","0.824","1.285","Nasutitermes novarumhebridarum Worker"
"63","0.991","0.818","1.18","Nasutitermes novarumhebridarum Worker"
"64","0.961","na","1.142","Nasutitermes novarumhebridarum Worker"
"65","na","0.882","1.223","Nasutitermes novarumhebridarum Worker"
"66","1.088","0.818","1.258","Nasutitermes novarumhebridarum Worker"
"67","0.804","0.909","1.302","Nasutitermes novarumhebridarum Worker"
"68","0.988","0.915","1.363","Nasutitermes novarumhebridarum Worker"
"69","1.128","0.673","1.238","Nasutitermes novarumhebridarum Worker"
"70","0.79","0.528","0.934","Nasutitermes novarumhebridarum Worker"
"71","0.997","0.929","1.168","Nasutitermes novarumhebridarum Worker"
"72","0.748","0.732","1.199","Nasutitermes novarumhebridarum Worker"
"73","0.628","0.787","1.24","Nasutitermes novarumhebridarum Worker"
"74","na","na","1.239","Nasutitermes novarumhebridarum Worker"
"75","0.719","0.672","0.97","Nasutitermes novarumhebridarum Worker"
"76","0.702","na","1.039","Nasutitermes novarumhebridarum Worker"
"77","0.947","na","1.231","Nasutitermes novarumhebridarum Worker"
"78","na","0.749","na","Nasutitermes novarumhebridarum Worker"
"79","0.789","0.624","1.24","Nasutitermes novarumhebridarum Worker"
"80","0.887","0.509","1.062","Nasutitermes novarumhebridarum Worker"
"81","0.919","0.81","1.282","Nasutitermes novarumhebridarum Worker"
"82","na","0.719","1.067","Nasutitermes novarumhebridarum Worker"
"83","0.899","0.523","0.959","Nasutitermes novarumhebridarum Soldier"
"84","1.04","0.993","1.012","Nasutitermes novarumhebridarum Soldier"
"85","0.798","0.97","1.055","Nasutitermes novarumhebridarum Soldier"
"86","1.012","0.752","0.922","Nasutitermes novarumhebridarum Soldier"
"87","0.969","0.862","1.085","Nasutitermes novarumhebridarum Soldier"
"88","0.806","0.576","1","Nasutitermes novarumhebridarum Soldier"
"89","0.921","0.884","0.985","Nasutitermes novarumhebridarum Soldier"
"90","0.958","0.782","1.021","Nasutitermes novarumhebridarum Soldier"
"91","1.124","0.911","1.067","Nasutitermes novarumhebridarum Soldier"
"92","0.978","1.024","0.974","Nasutitermes novarumhebridarum Soldier"
"93","na","1.139","1.159","Nasutitermes novarumhebridarum Queen"
"94","0.73","0.531","0.927","Cortaritermes silvestri Worker"
"95","0.737","0.609","1.009","Cortaritermes silvestri Worker"
"96","0.684","0.399","1.037","Cortaritermes silvestri Worker"
"97","0.621","0.454","0.986","Cortaritermes silvestri Worker"
"98","0.676","0.511","0.97","Cortaritermes silvestri Worker"
"99","0.678","0.462","0.935","Cortaritermes silvestri Worker"
"100","0.769","0.722","1.138","Cortaritermes silvestri Worker"
"101","0.836","0.509","1.04","Cortaritermes silvestri Worker"
"102","0.852","0.535","1.062","Cortaritermes silvestri Worker"
"103","0.694","0.614","0.999","Cortaritermes silvestri Worker"
"104","0.625","0.576","0.972","Cortaritermes silvestri Worker"
"105","0.941","0.673","1.065","Cortaritermes silvestri Worker"
"106","0.95","0.651","1.116","Cortaritermes silvestri Worker"
"107","0.923","0.555","0.945","Cortaritermes silvestri Worker"
"108","0.776","0.468","0.923","Cortaritermes silvestri Worker"
"109","0.773","0.616","1.056","Cortaritermes silvestri Worker"
"110","0.828","0.615","0.892","Cortaritermes silvestri Worker"
"111","0.892","0.598","1.17","Cortaritermes silvestri Worker"
"112","0.814","0.654","0.946","Cortaritermes silvestri Worker"
"113","0.938","0.613","1.082","Cortaritermes silvestri Worker"
"114","0.744","0.629","1.073","Cortaritermes silvestri Worker"
"115","0.662","0.622","1.03","Cortaritermes silvestri Worker"
"116","0.789","0.587","1.055","Cortaritermes silvestri Worker"
"117","0.919","0.688","1.12","Cortaritermes silvestri Worker"
"118","0.816","0.683","1.158","Cortaritermes silvestri Worker"
"119","0.865","0.752","1.102","Cortaritermes silvestri Worker"
"120","0.759","0.519","0.969","Cortaritermes silvestri Worker"
"121","0.814","0.615","1.018","Cortaritermes silvestri Worker"
"122","0.78","0.606","1.085","Cortaritermes silvestri Worker"
"123","0.848","0.66","1.038","Cortaritermes silvestri Worker"
"124","0.623","0.53","0.758","Cortaritermes silvestri Soldier"
"125","0.643","0.425","0.987","Cortaritermes silvestri Soldier"
"126","0.645","0.675","1.189","Cortaritermes silvestri Soldier"
"127","0.736","0.635","0.861","Cortaritermes silvestri Soldier"
"128","0.731","0.575","0.926","Cortaritermes silvestri Soldier"
"129","0.709","0.672","0.95","Cortaritermes silvestri Soldier"
"130","0.906","0.513","1.1","Cortaritermes silvestri Soldier"
"131","0.74","0.732","1.048","Cortaritermes silvestri Soldier"
"132","0.988","0.501","1.158","Cortaritermes silvestri Soldier"
"133","0.671","0.649","1.002","Cortaritermes silvestri Soldier"
"134","0.824","0.754","1.185","Acanthotermes acanthothorax Worker"
"135","0.937","0.818","1.195","Acanthotermes acanthothorax Worker"
"136","0.876","0.861","1.185","Acanthotermes acanthothorax Worker"
"137","1.013","1.008","na","Acanthotermes acanthothorax Worker"
"138","1.038","1.028","1.041","Acanthotermes acanthothorax Worker"
"139","1.026","0.666","1.455","Acanthotermes acanthothorax Worker"
"140","1.059","1.052","1.186","Acanthotermes acanthothorax Worker"
"141","0.804","0.804","0.889","Acanthotermes acanthothorax Worker"
"142","0.988","1.087","1.479","Acanthotermes acanthothorax Worker"
"143","0.913","0.983","1.291","Acanthotermes acanthothorax Worker"
"144","0.847","0.839","1.116","Acanthotermes acanthothorax Worker"
"145","0.983","0.688","1.266","Acanthotermes acanthothorax Worker"
"146","0.994","0.784","1.331","Acanthotermes acanthothorax Worker"
"147","1.064","0.757","1.3","Acanthotermes acanthothorax Worker"
"148","1","0.823","1.321","Acanthotermes acanthothorax Worker"
"149","0.785","0.765","0.754","Acanthotermes acanthothorax Worker"
"150","na","0.962","1.459","Acanthotermes acanthothorax Worker"
"151","1.088","1.038","1.388","Acanthotermes acanthothorax Worker"
"152","1.1","1.058","1.404","Acanthotermes acanthothorax Worker"
"153","0.933","1.065","1.488","Acanthotermes acanthothorax Worker"
"154","1.089","1.105","1.308","Acanthotermes acanthothorax Worker"
"155","1.135","1.011","1.394","Acanthotermes acanthothorax Worker"
"156","0.975","0.874","1.441","Acanthotermes acanthothorax Worker"
"157","1.135","0.981","1.346","Acanthotermes acanthothorax Worker"
"158","1.121","1.049","1.42","Acanthotermes acanthothorax Worker"
"159","1.116","0.963","1.336","Acanthotermes acanthothorax Worker"
"160","1.129","1.064","1.464","Acanthotermes acanthothorax Worker"
"161","0.879","0.681","0.924","Acanthotermes acanthothorax Worker"
"162","1.114","1.072","1.374","Acanthotermes acanthothorax Worker"
"163","na","0.769","0.936","Acanthotermes acanthothorax Worker"
"164","0.721","0.516","0.747","Acanthotermes acanthothorax Soldier"
"165","1.065","0.968","0.862","Acanthotermes acanthothorax Soldier"
"166","0.963","1.132","0.904","Acanthotermes acanthothorax Soldier"
"167","0.667","0.94","0.749","Acanthotermes acanthothorax Soldier"
"168","1.133","0.99","0.892","Acanthotermes acanthothorax Soldier"
"169","1.089","0.978","0.808","Acanthotermes acanthothorax Soldier"
"170","0.991","0.926","0.871","Acanthotermes acanthothorax Soldier"
"171","1.031","0.963","0.822","Acanthotermes acanthothorax Soldier"
"172","0.824","0.69","1.154","Acanthotermes acanthothorax Soldier"
"173","1.141","0.942","0.859","Acanthotermes acanthothorax Soldier"
"174","1.273","1.361","1.328","Acanthotermes acanthothorax Soldier"
"175","1.322","1.185","1.408","Acanthotermes acanthothorax Soldier"
"176","1.686","1.257","1.676","Acanthotermes acanthothorax Soldier"
"177","1.411","1.257","1.432","Acanthotermes acanthothorax Soldier"
"178","1.246","1.246","1.582","Acanthotermes acanthothorax Soldier"
"179","1.432","1.274","1.663","Acanthotermes acanthothorax Soldier"
"180","1.516","1.365","1.55","Acanthotermes acanthothorax Soldier"
"181","1.148","1.34","1.374","Acanthotermes acanthothorax Soldier"
"182","1.415","1.336","1.318","Acanthotermes acanthothorax Soldier"
"183","1.06","1.34","1.537","Acanthotermes acanthothorax Soldier"
"184","1.335","1.466","2.338","Acanthotermes acanthothorax Soldier"
"185","1.67","1.675","2.83","Acanthotermes acanthothorax Soldier"
"186","1.77","1.517","2.913","Acanthotermes acanthothorax Soldier"
"187","1.648","1.358","3.013","Acanthotermes acanthothorax Soldier"
"188","1.761","1.594","2.875","Acanthotermes acanthothorax Soldier"
"189","1.909","1.312","2.796","Acanthotermes acanthothorax Soldier"
"190","1.687","1.147","2.705","Acanthotermes acanthothorax Soldier"
"191","1.781","1.165","2.63","Acanthotermes acanthothorax Soldier"
"192","na","1.353","2.747","Acanthotermes acanthothorax Soldier"
"193","1.835","1.488","3.098","Acanthotermes acanthothorax Soldier"
"194","1.854","1.552","1.504","Acanthotermes acanthothorax Queen"
"195","0.747","0.511","0.834","Embiratermes festivellus Worker"
"196","0.745","0.5","0.776","Embiratermes festivellus Worker"
"197","0.768","0.503","0.838","Embiratermes festivellus Worker"
"198","0.855","0.579","1.011","Embiratermes festivellus Worker"
"199","0.939","0.552","0.769","Embiratermes festivellus Worker"
"200","0.598","0.838","0.193","Embiratermes festivellus Worker"
"201","0.963","0.628","0.864","Embiratermes festivellus Worker"
"202","0.784","0.564","0.816","Embiratermes festivellus Worker"
"203","0.844","0.642","0.926","Embiratermes festivellus Worker"
"204","0.443","0.545","0.963","Embiratermes festivellus Worker"
"205","0.582","0.671","0.921","Embiratermes festivellus Worker"
"206","0.701","0.552","0.713","Embiratermes festivellus Worker"
"207","0.579","0.489","0.742","Embiratermes festivellus Worker"
"208","0.579","0.534","0.889","Embiratermes festivellus Worker"
"209","0.665","0.625","0.931","Embiratermes festivellus Worker"
"210","0.836","0.637","0.956","Embiratermes festivellus Worker"
"211","0.647","0.479","0.923","Embiratermes festivellus Worker"
"212","0.871","0.563","0.876","Embiratermes festivellus Worker"
"213","0.839","0.476","0.905","Embiratermes festivellus Worker"
"214","0.75","0.685","0.97","Embiratermes festivellus Worker"
"215","0.411","0.427","0.909","Embiratermes festivellus Worker"
"216","0.81","0.531","0.99","Embiratermes festivellus Worker"
"217","0.84","0.545","0.933","Embiratermes festivellus Worker"
"218","0.814","0.535","0.934","Embiratermes festivellus Worker"
"219","0.7","0.482","0.915","Embiratermes festivellus Worker"
"220","0.7","na","0.736","Embiratermes festivellus Worker"
"221","0.845","0.59","0.898","Embiratermes festivellus Worker"
"222","0.763","0.328","0.832","Embiratermes festivellus Worker"
"223","0.829","0.565","0.926","Embiratermes festivellus Worker"
"224","0.843","0.507","0.785","Embiratermes festivellus Worker"
"225","0.743","0.571","1.33","Embiratermes festivellus Soldier"
"226","1.036","0.786","1.483","Embiratermes festivellus Soldier"
"227","0.853","0.754","1.358","Embiratermes festivellus Soldier"
"228","0.98","0.448","1.17","Embiratermes festivellus Soldier"
"229","0.977","0.859","1.462","Embiratermes festivellus Soldier"
"230","1.104","0.758","1.34","Embiratermes festivellus Soldier"
"231","1.015","0.551","1.402","Embiratermes festivellus Soldier"
"232","0.925","0.772","1.409","Embiratermes festivellus Soldier"
"233","0.99","0.77","1.528","Embiratermes festivellus Soldier"
"234","0.837","0.842","1.506","Embiratermes festivellus Soldier"
"235","0.91","0.787","0.938","Embiratermes festivellus Queen"
"236","0.941","0.79","0.837","Embiratermes festivellus Queen"
"237","1.056","0.905","0.958","Embiratermes festivellus Queen"
"238","0.964","0.854","1.122","Tenuirostritermes tenuirostris Worker"
"239","0.849","0.682","0.934","Tenuirostritermes tenuirostris Worker"
"240","0.539","0.365","0.773","Tenuirostritermes tenuirostris Worker"
"241","0.857","0.687","0.96","Tenuirostritermes tenuirostris Worker"
"242","0.78","0.414","0.933","Tenuirostritermes tenuirostris Worker"
"243","0.757","0.689","0.817","Tenuirostritermes tenuirostris Worker"
"244","0.753","0.642","0.892","Tenuirostritermes tenuirostris Worker"
"245","0.773","0.586","0.929","Tenuirostritermes tenuirostris Worker"
"246","0.753","0.599","0.857","Tenuirostritermes tenuirostris Worker"
"247","0.727","0.703","0.948","Tenuirostritermes tenuirostris Worker"
"248","0.695","0.674","0.936","Tenuirostritermes tenuirostris Worker"
"249","0.703","0.638","0.974","Tenuirostritermes tenuirostris Worker"
"250","0.696","0.721","0.565","Tenuirostritermes tenuirostris Soldier"
"251","0.734","0.473","0.568","Tenuirostritermes tenuirostris Soldier"
"252","0.945","0.753","0.699","Tenuirostritermes tenuirostris Soldier"
"253","0.727","0.666","0.582","Tenuirostritermes tenuirostris Soldier"
"254","0.694","0.669","0.545","Tenuirostritermes tenuirostris Soldier"
"255","0.701","0.603","0.5","Tenuirostritermes tenuirostris Soldier"
"256","0.736","0.746","0.612","Tenuirostritermes tenuirostris Soldier"
"257","0.723","0.733","0.589","Tenuirostritermes tenuirostris Soldier"
"258","0.57","0.673","0.55","Tenuirostritermes tenuirostris Soldier"
"259","0.701","0.649","0.598","Tenuirostritermes tenuirostris Soldier"
"260","1.043","0.968","0.901","Constrictotermes cyphergaster Worker"
"261","0.843","0.793","0.939","Constrictotermes cyphergaster Worker"
"262","1.215","0.819","1.203","Constrictotermes cyphergaster Worker"
"263","1.183","0.868","0.891","Constrictotermes cyphergaster Worker"
"264","1.044","0.728","1.066","Constrictotermes cyphergaster Worker"
"265","0.607","0.517","0.998","Constrictotermes cyphergaster Worker"
"266","1.101","0.909","1.019","Constrictotermes cyphergaster Worker"
"267","0.998","0.869","0.997","Constrictotermes cyphergaster Worker"
"268","1.242","1.019","0.996","Constrictotermes cyphergaster Worker"
"269","1.082","0.964","na","Constrictotermes cyphergaster Worker"
"270","1.424","1.054","1.112","Constrictotermes cyphergaster Worker"
"271","1.019","0.875","na","Constrictotermes cyphergaster Worker"
"272","1.248","0.949","1.08","Constrictotermes cyphergaster Worker"
"273","1.286","0.817","1.032","Constrictotermes cyphergaster Worker"
"274","1.151","0.802","1.072","Constrictotermes cyphergaster Worker"
"275","1.155","0.972","1.044","Constrictotermes cyphergaster Worker"
"276","1.149","0.892","0.764","Constrictotermes cyphergaster Worker"
"277","1.071","0.824","1.113","Constrictotermes cyphergaster Worker"
"278","1.19","0.83","0.692","Constrictotermes cyphergaster Worker"
"279","1.045","0.837","0.905","Constrictotermes cyphergaster Worker"
"280","1.418","0.878","0.866","Constrictotermes cyphergaster Worker"
"281","1.055","0.853","0.942","Constrictotermes cyphergaster Worker"
"282","1.263","1.06","1.077","Constrictotermes cyphergaster Worker"
"283","1.218","1.015","0.962","Constrictotermes cyphergaster Worker"
"284","0.984","0.829","0.959","Constrictotermes cyphergaster Worker"
"285","1.309","0.929","0.992","Constrictotermes cyphergaster Worker"
"286","1.263","0.998","1.04","Constrictotermes cyphergaster Worker"
"287","1.192","0.955","0.992","Constrictotermes cyphergaster Worker"
"288","1.105","0.938","1.006","Constrictotermes cyphergaster Worker"
"289","1.087","0.805","0.998","Constrictotermes cyphergaster Worker"
"290","1.323","1.13","1.075","Constrictotermes cyphergaster Soldier"
"291","1.077","1.243","1.015","Constrictotermes cyphergaster Soldier"
"292","1.354","1.274","1.052","Constrictotermes cyphergaster Soldier"
"293","1.346","1.16","1.103","Constrictotermes cyphergaster Soldier"
"294","1.468","1.251","1.191","Constrictotermes cyphergaster Soldier"
"295","1.305","0.984","1.129","Constrictotermes cyphergaster Soldier"
"296","1.496","1.029","1.146","Constrictotermes cyphergaster Soldier"
"297","1.444","1.171","1.16","Constrictotermes cyphergaster Soldier"
"298","1.441","0.973","1.026","Constrictotermes cyphergaster Soldier"
"299","1.366","1.112","1.115","Constrictotermes cyphergaster Soldier"
"300","1.557","1.173","1.202","Constrictotermes cyphergaster Queen"
"301","1.542","1.2","1.146","Constrictotermes cyphergaster Queen"
"302","0.824","0.721","1.205","Prorhinotermes inopinatus Worker"
"303","0.755","0.606","1.199","Prorhinotermes inopinatus Worker"
"304","0.905","0.859","1.344","Prorhinotermes inopinatus Worker"
"305","0.52","0.599","1.066","Prorhinotermes inopinatus Worker"
"306","0.654","0.563","1.11","Prorhinotermes inopinatus Worker"
"307","0.764","0.6","1.061","Prorhinotermes inopinatus Worker"
"308","0.67","0.503","1.1","Prorhinotermes inopinatus Worker"
"309","0.855","0.694","1.27","Prorhinotermes inopinatus Worker"
"310","0.723","0.706","1.131","Prorhinotermes inopinatus Worker"
"311","0.79","0.537","1.185","Prorhinotermes inopinatus Worker"
"312","0.51","0.559","1.217","Prorhinotermes inopinatus Worker"
"313","1.022","0.613","1.333","Prorhinotermes inopinatus Worker"
"314","0.181","0.181","na","Prorhinotermes inopinatus Worker"
"315","na","0.602","0.961","Prorhinotermes inopinatus Worker"
"316","0.557","0.552","1.066","Prorhinotermes inopinatus Worker"
"317","0.666","0.568","1.23","Prorhinotermes inopinatus Worker"
"318","0.851","0.656","1.332","Prorhinotermes inopinatus Worker"
"319","0.964","0.589","0.919","Prorhinotermes inopinatus Worker"
"320","0.771","0.64","1.304","Prorhinotermes inopinatus Worker"
"321","0.735","0.636","1.166","Prorhinotermes inopinatus Worker"
"322","0.911","0.687","1.271","Prorhinotermes inopinatus Worker"
"323","1.004","0.739","1.07","Prorhinotermes inopinatus Worker"
"324","0.915","na","1.182","Prorhinotermes inopinatus Worker"
"325","0.518","0.43","0.72","Prorhinotermes inopinatus Worker"
"326","0.753","0.696","1.262","Prorhinotermes inopinatus Worker"
"327","0.903","0.834","1.249","Prorhinotermes inopinatus Worker"
"328","0.548","0.602","0.932","Prorhinotermes inopinatus Worker"
"329","0.814","0.581","1.046","Prorhinotermes inopinatus Worker"
"330","0.803","0.66","1.09","Prorhinotermes inopinatus Worker"
"331","0.886","0.52","1.247","Prorhinotermes inopinatus Worker"
"332","0.963","0.99","1.338","Prorhinotermes inopinatus Soldier"
"333","0.828","0.809","1.212","Prorhinotermes inopinatus Soldier"
"334","1.066","0.922","1.193","Prorhinotermes inopinatus Soldier"
"335","1.107","0.979","1.131","Prorhinotermes inopinatus Soldier"
"336","0.958","0.686","1.191","Prorhinotermes inopinatus Soldier"
"337","0.819","0.884","1.194","Prorhinotermes inopinatus Soldier"
"338","1.06","0.854","1.204","Prorhinotermes inopinatus Soldier"
"339","1.164","1.047","1.346","Prorhinotermes inopinatus Soldier"
"340","1.01","0.896","1.216","Prorhinotermes inopinatus Soldier"
"341","1.051","0.724","1.417","Prorhinotermes inopinatus Soldier"
"342","0.916","0.705","0.822","Leptomyxotermes doriae Worker"
"343","0.971","0.931","0.737","Leptomyxotermes doriae Worker"
"344","0.94","0.843","0.735","Leptomyxotermes doriae Worker"
"345","0.844","0.908","0.907","Leptomyxotermes doriae Worker"
"346","1.048","0.815","0.856","Leptomyxotermes doriae Worker"
"347","1.147","0.845","0.896","Leptomyxotermes doriae Worker"
"348","0.898","0.74","0.762","Leptomyxotermes doriae Worker"
"349","0.775","0.772","0.659","Leptomyxotermes doriae Worker"
"350","0.99","0.798","0.798","Leptomyxotermes doriae Worker"
"351","0.969","0.769","0.868","Leptomyxotermes doriae Worker"
"352","0.895","0.695","0.806","Leptomyxotermes doriae Worker"
"353","1.11","0.91","0.762","Leptomyxotermes doriae Worker"
"354","1.231","0.985","0.793","Leptomyxotermes doriae Worker"
"355","0.847","0.928","0.818","Leptomyxotermes doriae Worker"
"356","0.99","0.83","0.845","Leptomyxotermes doriae Worker"
"357","0.975","0.76","0.801","Leptomyxotermes doriae Worker"
"358","0.919","0.811","0.799","Leptomyxotermes doriae Worker"
"359","0.945","0.763","0.74","Leptomyxotermes doriae Worker"
"360","0.866","0.938","0.789","Leptomyxotermes doriae Worker"
"361","1.11","0.758","0.915","Leptomyxotermes doriae Worker"
"362","1.072","0.847","0.916","Leptomyxotermes doriae Worker"
"363","1.021","0.803","0.724","Leptomyxotermes doriae Worker"
"364","0.972","0.8","0.778","Leptomyxotermes doriae Worker"
"365","0.875","0.832","0.799","Leptomyxotermes doriae Worker"
"366","0.971","0.732","0.821","Leptomyxotermes doriae Worker"
"367","0.988","1.012","0.811","Leptomyxotermes doriae Worker"
"368","0.952","0.634","0.877","Leptomyxotermes doriae Worker"
"369","0.899","0.692","0.737","Leptomyxotermes doriae Worker"
"370","0.88","0.715","0.702","Leptomyxotermes doriae Worker"
"371","0.849","0.771","0.722","Leptomyxotermes doriae Worker"
"372","1.212","1.121","0.768","Leptomyxotermes doriae Soldier"
"373","1.497","1.195","0.705","Leptomyxotermes doriae Soldier"
"374","1.234","0.98","0.744","Leptomyxotermes doriae Soldier"
"375","1.405","1.125","0.664","Leptomyxotermes doriae Soldier"
"376","1.179","0.963","0.86","Leptomyxotermes doriae Soldier"
"377","1.357","1.156","0.702","Leptomyxotermes doriae Soldier"
"378","1.333","1.022","0.642","Leptomyxotermes doriae Soldier"
"379","1.096","0.921","0.65","Leptomyxotermes doriae Soldier"
"380","1.112","0.719","0.627","Leptomyxotermes doriae Soldier"
"381","1.224","1.043","0.795","Leptomyxotermes doriae Soldier"
"382","2.537","2.337","3.779","Hodotermes mossambicus Worker"
"383","2.296","1.742","2.616","Hodotermes mossambicus Worker"
"384","2.792","2.409","3.643","Hodotermes mossambicus Worker"
"385","1.776","1.628","2.338","Hodotermes mossambicus Worker"
"386","2.371","1.75","2.414","Hodotermes mossambicus Worker"
"387","2.418","1.362","2.902","Hodotermes mossambicus Worker"
"388","1.55","1.425","2.481","Hodotermes mossambicus Worker"
"389","3.032","1.83","3.366","Hodotermes mossambicus Worker"
"390","1.758","1.061","2.102","Hodotermes mossambicus Worker"
"391","2.481","2.05","2.165","Hodotermes mossambicus Worker"
"392","2.753","2.545","4.016","Hodotermes mossambicus Worker"
"393","2.801","2.13","2.659","Hodotermes mossambicus Worker"
"394","1.929","1.83","2.546","Hodotermes mossambicus Worker"
"395","2.608","1.904","2.655","Hodotermes mossambicus Worker"
"396","1.613","1.623","2.323","Hodotermes mossambicus Worker"
"397","2.556","2.026","2.145","Hodotermes mossambicus Worker"
"398","2.811","1.553","3.521","Hodotermes mossambicus Worker"
"399","2.057","2.149","2.358","Hodotermes mossambicus Worker"
"400","2.501","2.056","2.548","Hodotermes mossambicus Worker"
"401","2.062","2.104","2.741","Hodotermes mossambicus Worker"
"402","2.655","1.239","2.604","Hodotermes mossambicus Worker"
"403","2.534","1.222","3.043","Hodotermes mossambicus Worker"
"404","1.991","1.308","1.737","Hodotermes mossambicus Worker"
"405","1.627","1.271","2.017","Hodotermes mossambicus Worker"
"406","3.255","2.531","3.726","Hodotermes mossambicus Worker"
"407","3.042","2.446","3.596","Hodotermes mossambicus Worker"
"408","2.739","na","3.588","Hodotermes mossambicus Worker"
"409","2.637","1.385","3.046","Hodotermes mossambicus Worker"
"410","2.629","2.353","3.385","Hodotermes mossambicus Worker"
"411","1.523","1.174","3.236","Hodotermes mossambicus Worker"
"412","1.743","1.88","3.729","Hodotermes mossambicus Soldier"
"413","2.934","1.483","4.102","Hodotermes mossambicus Soldier"
"414","1.679","1.43","3.734","Hodotermes mossambicus Soldier"
"415","3.092","2.422","4.488","Hodotermes mossambicus Soldier"
"416","2.25","1.603","3.268","Hodotermes mossambicus Soldier"
"417","2.39","2.062","3.637","Hodotermes mossambicus Soldier"
"418","2.378","1.925","4.484","Hodotermes mossambicus Soldier"
"419","2.156","1.353","3.435","Hodotermes mossambicus Soldier"
"420","2.649","1.778","3.734","Hodotermes mossambicus Soldier"
"421","3.231","2.629","4.659","Hodotermes mossambicus Soldier"
"422","1.247","0.849","2.487","Mastotermes darwiniensis Worker"
"423","1.441","1.211","2.676","Mastotermes darwiniensis Worker"
"424","0.894","0.733","2.111","Mastotermes darwiniensis Worker"
"425","1.307","0.93","2.721","Mastotermes darwiniensis Worker"
"426","1.058","0.908","2.209","Mastotermes darwiniensis Worker"
"427","1.217","1.011","2.532","Mastotermes darwiniensis Worker"
"428","1.312","1.01","2.616","Mastotermes darwiniensis Worker"
"429","0.597","1.067","2.581","Mastotermes darwiniensis Worker"
